,image,caption,ko_captions
43,1015118661_980735411b.jpg,A young child is walking on a stone paved street with a metal pole and a man behind him .,어린 아이는 금속 기둥과 그 뒤에 남자가있는 돌 포장 된 거리를 걷고 있습니다.
44,1015118661_980735411b.jpg,Smiling boy in white shirt and blue jeans in front of rock wall with man in overalls behind him .,흰 셔츠에 웃는 소년과 그 뒤에있는 바지에있는 남자와 함께 암벽 앞에 청바지.
45,1015584366_dfcec3c85a.jpg,A black dog leaps over a log .,검은 개가 통나무 위로 뛰어 들었습니다.
46,1015584366_dfcec3c85a.jpg,A grey dog is leaping over a fallen tree .,회색 개가 타락한 나무 위로 뛰어 들고 있습니다.
47,1015584366_dfcec3c85a.jpg,A large black dog leaps a fallen log .,큰 검은 개가 타락한 통나무를 도약합니다.
48,1015584366_dfcec3c85a.jpg,A mottled black and grey dog in a blue collar jumping over a fallen tree .,타락한 나무 위로 점프하는 푸른 칼라에 얼룩덜룩 한 검은 색과 회색 개.
49,1015584366_dfcec3c85a.jpg,The black dog jumped the tree stump .,검은 개가 나무 그루터기를 뛰어 넘었습니다.
50,101654506_8eb26cfb60.jpg,A brown and white dog is running through the snow .,갈색과 흰 개가 눈을 뚫고 있습니다.
51,101654506_8eb26cfb60.jpg,A dog is running in the snow,개가 눈 속에서 달리고 있습니다
52,101654506_8eb26cfb60.jpg,A dog running through snow .,눈을 통과하는 개.
53,101654506_8eb26cfb60.jpg,a white and brown dog is running through a snow covered field .,흰색과 갈색 개가 눈 덮힌 필드를 통해 달리고 있습니다.
54,101654506_8eb26cfb60.jpg,The white and brown dog is running over the surface of the snow .,흰색과 갈색 개는 눈 표면 위로 달리고 있습니다.
55,101669240_b2d3e7f17b.jpg,A man in a hat is displaying pictures next to a skier in a blue hat .,모자를 쓴 남자가 파란 모자로 스키어 옆에 사진을 보여줍니다.
56,101669240_b2d3e7f17b.jpg,A man skis past another man displaying paintings in the snow .,남자가 눈 속에서 그림을 보여주는 다른 남자를 지나서 스키를 타십시오.
57,101669240_b2d3e7f17b.jpg,A person wearing skis looking at framed pictures set up in the snow .,눈에 설치된 액자 사진을보고 스키를 착용 한 사람.
58,101669240_b2d3e7f17b.jpg,A skier looks at framed pictures in the snow next to trees .,스키어는 나무 옆의 눈 속에서 액자 사진을 봅니다.
59,101669240_b2d3e7f17b.jpg,Man on skis looking at artwork for sale in the snow,눈 속에서 판매되는 예술 작품을보고있는 스키에 남자
60,1016887272_03199f49c4.jpg,A collage of one person climbing a cliff .,절벽을 오르는 한 사람의 콜라주.
61,1016887272_03199f49c4.jpg,A group of people are rock climbing on a rock climbing wall .,한 무리의 사람들이 암벽 등반 벽에서 암벽 등반을하고 있습니다.
62,1016887272_03199f49c4.jpg,A group of people climbing a rock while one man belays,한 사람이 좋아하는 동안 바위를 오르는 사람들의 그룹
63,1016887272_03199f49c4.jpg,Seven climbers are ascending a rock face whilst another man stands holding the rope .,7 명의 등반가가 바위 얼굴을 올라가고있는 동안 다른 남자는 밧줄을 들고 있습니다.
64,1016887272_03199f49c4.jpg,Several climbers in a row are climbing the rock while the man in red watches and holds the line .,"연속으로 여러 등반가들이 바위를 오르고있는 동안, 남자는 레드 시계를하고 줄을 붙잡고 있습니다."
65,1019077836_6fc9b15408.jpg,A brown dog chases the water from a sprinkler on a lawn .,갈색 개는 잔디밭의 스프링클러에서 물을 쫓습니다.
66,1019077836_6fc9b15408.jpg,a brown dog plays with the hose .,갈색 개는 호스와 함께 재생됩니다.
67,1019077836_6fc9b15408.jpg,A brown dog running on a lawn near a garden hose,정원 호스 근처의 잔디밭에서 달리는 갈색 개
68,1019077836_6fc9b15408.jpg,A dog is playing with a hose .,개가 호스를 가지고 놀고 있습니다.
69,1019077836_6fc9b15408.jpg,Large brown dog running away from the sprinkler in the grass .,잔디의 스프링클러에서 도망 치는 큰 갈색 개.
70,1019604187_d087bf9a5f.jpg,A dog prepares to catch a thrown object in a field with nearby cars .,개는 근처의 자동차가있는 들판에서 던져진 물건을 잡을 준비를합니다.
71,1019604187_d087bf9a5f.jpg,A white dog is about to catch a yellow ball in its mouth .,흰 개가 입에서 노란 공을 잡으려고합니다.
72,1019604187_d087bf9a5f.jpg,A white dog is about to catch a yellow dog toy .,흰 개가 노란 개 장난감을 잡으려고합니다.
73,1019604187_d087bf9a5f.jpg,A white dog is ready to catch a yellow ball flying through the air .,하얀 개는 공중을 통해 날아 다니는 노란 공을 잡을 준비가되었습니다.
74,1019604187_d087bf9a5f.jpg,A white dog running after a yellow ball,노란 공을 따라 달리는 흰 개
75,1020651753_06077ec457.jpg,a black and white dog jumping in the air to get a toy .,장난감을 얻기 위해 공중에서 점프하는 흑백 개.
76,1020651753_06077ec457.jpg,A black and white dog jumps up towards a yellow toy .,흑백 개가 노란색 장난감을 향해 뛰어납니다.
77,1020651753_06077ec457.jpg,A dog leaps to catch a ball in a field .,개가 들판에서 공을 잡기 위해 도약합니다.
78,1020651753_06077ec457.jpg,A white dog is trying to catch a ball in midair over a grassy field .,흰 개는 잔디밭에서 공중에서 공을 잡으려고 노력하고 있습니다.
79,1020651753_06077ec457.jpg,The white dog is playing in a green field with a yellow toy .,흰 개는 노란 장난감으로 녹색 필드에서 놀고 있습니다.
80,1022454332_6af2c1449a.jpg,A child and a woman are at waters edge in a big city .,어린이와 여성은 대도시의 Waters Edge에 있습니다.
81,1022454332_6af2c1449a.jpg,a large lake with a lone duck swimming in it with several people around the edge of it .,고독한 오리가있는 큰 호수가 그 가장자리 주위에 여러 사람과 함께 수영을합니다.
82,1022454332_6af2c1449a.jpg,A little boy at a lake watching a duck .,오리를보고 호수의 어린 소년.
83,1022454332_6af2c1449a.jpg,A young boy waves his hand at the duck in the water surrounded by a green park .,어린 소년이 녹색 공원으로 둘러싸인 물 속의 오리에게 손을 흔들었다.
84,1022454332_6af2c1449a.jpg,"Two people are at the edge of a lake , facing the water and the city skyline .",두 사람이 호수 가장자리에 있으며 물과 도시 스카이 라인을 향하고 있습니다.
85,1022454428_b6b660a67b.jpg,"A couple and an infant , being held by the male , sitting next to a pond with a near by stroller .",부부와 유아는 수컷이 잡고 유모차가 가까이있는 연못 옆에 앉아 있습니다.
86,1022454428_b6b660a67b.jpg,A couple sit on the grass with a baby and stroller .,부부는 아기와 유모차와 함께 잔디에 앉아 있습니다.
87,1022454428_b6b660a67b.jpg,A couple with their newborn baby sitting under a tree facing a lake .,신생아 아기가 호수를 마주 보는 나무 아래에 앉아있는 부부.
88,1022454428_b6b660a67b.jpg,A man and woman care for an infant along the side of a body of water .,남자와 여자는 물의 몸을 따라 유아를 돌보아줍니다.
89,1022454428_b6b660a67b.jpg,Couple with a baby sit outdoors next to their stroller .,아기가있는 부부는 유모차 옆에 야외에 앉아 있습니다.
90,1022975728_75515238d8.jpg,A black dog running in the surf .,서핑에서 달리는 검은 개.
91,1022975728_75515238d8.jpg,A black lab with tags frolicks in the water .,태그가있는 검은 실험실은 물에 튀어 나옵니다.
92,1022975728_75515238d8.jpg,A dog splashes in the water,개가 물에 뿌려집니다
93,1022975728_75515238d8.jpg,The black dog runs through the water .,검은 개는 물을 통과합니다.
94,1022975728_75515238d8.jpg,This is a black dog splashing in the water .,이것은 물에 튀는 검은 개입니다.
95,102351840_323e3de834.jpg,A man drilling a hole in the ice .,얼음에 구멍을 뚫는 남자.
96,102351840_323e3de834.jpg,A man is drilling through the frozen ice of a pond .,남자가 연못의 얼어 붙은 얼음을 뚫고 있습니다.
97,102351840_323e3de834.jpg,A person in the snow drilling a hole in the ice .,눈에 얼음에 구멍을 뚫는 사람.
98,102351840_323e3de834.jpg,A person standing on a frozen lake .,얼어 붙은 호수에 서있는 사람.
99,102351840_323e3de834.jpg,Two men are ice fishing .,두 사람은 얼음 낚시입니다.
100,1024138940_f1fefbdce1.jpg,Two different breeds of brown and white dogs play on the beach .,갈색과 흰 개가 두 가지 품종이 해변에서 재생됩니다.
101,1024138940_f1fefbdce1.jpg,Two dogs are making a turn on a soft sand beach .,두 마리의 개가 부드러운 모래 해변을 켜고 있습니다.
102,1024138940_f1fefbdce1.jpg,Two dogs playing in the sand at the beach .,해변에서 모래에서 놀고있는 두 마리의 개.
103,1024138940_f1fefbdce1.jpg,Two dogs playing together on a beach .,두 마리의 개가 해변에서 함께 놀고 있습니다.
104,1024138940_f1fefbdce1.jpg,Two large tan dogs play along a sandy beach .,두 개의 큰 황갈색 개가 모래 해변을 따라 놀아요.
105,102455176_5f8ead62d5.jpg,A man uses ice picks and crampons to scale ice .,남자는 얼음 픽과 크램폰을 사용하여 얼음을 축소합니다.
106,102455176_5f8ead62d5.jpg,an ice climber in a blue jacket and black pants is scaling a frozen ice wall .,푸른 재킷과 검은 색 바지의 빙상은 얼어 붙은 얼음 벽을 확장하고 있습니다.
107,102455176_5f8ead62d5.jpg,An ice climber scaling a frozen waterfall .,얼어 붙은 폭포를 스케일링하는 빙원.
108,102455176_5f8ead62d5.jpg,A person in blue and red ice climbing with two picks .,두 번의 선택으로 파란색과 붉은 얼음 등반의 사람.
109,102455176_5f8ead62d5.jpg,Climber climbing an ice wall,등산가는 얼음 벽을 등반합니다
110,1026685415_0431cbf574.jpg,A black dog carries a green toy in his mouth as he walks through the grass .,검은 개는 잔디를 걸을 때 입에 녹색 장난감을 가지고 있습니다.
111,1026685415_0431cbf574.jpg,A black dog carrying something through the grass .,잔디를 통해 무언가를 들고있는 검은 개.
112,1026685415_0431cbf574.jpg,A black dog has a blue toy in its mouth .,검은 개는 입에 파란 장난감이 있습니다.
113,1026685415_0431cbf574.jpg,A dog in grass with a blue item in his mouth .,입에 파란색 아이템이있는 잔디에 개.
114,1026685415_0431cbf574.jpg,A wet black dog is carrying a green toy through the grass .,젖은 검은 개가 잔디를 통해 녹색 장난감을 들고 있습니다.
115,1028205764_7e8df9a2ea.jpg,A man and a baby are in a yellow kayak on water .,남자와 아기는 물에 노란 카약에 있습니다.
116,1028205764_7e8df9a2ea.jpg,A man and a little boy in blue life jackets are rowing a yellow canoe .,푸른 구명 자켓의 남자와 어린 소년이 노란색 카누를 젓고 있습니다.
117,1028205764_7e8df9a2ea.jpg,A man and child kayak through gentle waters .,부드러운 물을 통한 남자와 아이 카약.
118,1028205764_7e8df9a2ea.jpg,A man and young boy ride in a yellow kayak .,남자와 어린 소년이 노란색 카약을 타고 타십시오.
119,1028205764_7e8df9a2ea.jpg,Man and child in yellow kayak,노란색 카약의 남자와 아이
120,1030985833_b0902ea560.jpg,A black dog and a brown dog are jumping up to catch a red toy .,검은 개와 갈색 개가 빨간 장난감을 잡기 위해 뛰어 내리고 있습니다.
121,1030985833_b0902ea560.jpg,A black dog and a brown dog play with a red toy on a courtyard .,검은 개와 갈색 개가 안뜰에 빨간 장난감을 가지고 놀아요.
122,1030985833_b0902ea560.jpg,A brown and black lab are outside and the black lab is catching a toy in its mouth .,갈색과 검은 색 실험실은 외부에 있으며 검은 실험실은 입에 장난감을 잡고 있습니다.
123,1030985833_b0902ea560.jpg,Black dog snaps at red and black object as brown dog lunges .,검은 개는 갈색 개 폐기로 빨간색과 검은 색 물체를 스냅합니다.
124,1030985833_b0902ea560.jpg,The Chocolate Lab jumps too late to get the toy as the Black Lab captures it in the driveway .,검은 색 실험실이 차도에서 장난감을 포착함에 따라 초콜릿 실험실이 너무 늦게 뛰어 들었습니다.
125,103106960_e8a41d64f8.jpg,A boy with a stick kneeling in front of a goalie net,골키퍼 네트 앞에서 무릎을 꿇고 스틱을 가진 소년
126,103106960_e8a41d64f8.jpg,A child in a red jacket playing street hockey guarding a goal .,길거리 하키를 연주하는 빨간 재킷의 아이가 목표를 지키고 있습니다.
127,103106960_e8a41d64f8.jpg,A young kid playing the goalie in a hockey rink .,하키 링크에서 골키퍼를 연기하는 어린 아이.
128,103106960_e8a41d64f8.jpg,A young male kneeling in front of a hockey goal with a hockey stick in his right hand .,오른손에 하키 막대기가있는 하키 목표 앞에서 무릎을 꿇고있는 젊은 남성.
129,103106960_e8a41d64f8.jpg,"Hockey goalie boy in red jacket crouches by goal , with stick .",빨간 재킷의 하키 골키퍼 소년은 스틱과 함께 목표로 웅크 리고 있습니다.
130,103195344_5d2dc613a3.jpg,A man in black is sitting next to a modern art structure in front of a glass building .,검은 색의 남자는 유리 건물 앞 현대 미술 구조 옆에 앉아 있습니다.
131,103195344_5d2dc613a3.jpg,A man sits and reads a newspaper by a sculpture outside of an office building .,한 남자는 사무실 건물 외부의 조각품으로 신문을 읽고 읽습니다.
132,103195344_5d2dc613a3.jpg,a man sits near a large statue .,남자는 큰 동상 근처에 앉아 있습니다.
133,103195344_5d2dc613a3.jpg,A man sitting in front of a metal sculpture in front of a building .,건물 앞에서 금속 조각 앞에 앉아있는 남자.
134,103195344_5d2dc613a3.jpg,The man with the backpack is sitting in a buildings courtyard in front of an art sculpture reading .,배낭을 가진 남자는 미술 조각 독서 앞에있는 건물 안뜰에 앉아 있습니다.
135,103205630_682ca7285b.jpg,A tent is being set up on the ice .,얼음 위에 텐트가 설치되고 있습니다.
136,103205630_682ca7285b.jpg,Two men are about to enter an ice fishing tent on a snow covered lake .,두 남자가 눈 덮인 호수에 얼음 낚시 텐트에 들어가려고합니다.
137,103205630_682ca7285b.jpg,two men setting up a blue ice fishing hut on an iced over lake,두 남자가 호수 위에 아이스에 푸른 얼음 낚시 오두막을 세우는
138,103205630_682ca7285b.jpg,"Two men , standing on an ice , looking into something covered with a blue tarp .",얼음 위에 서서 푸른 방수포로 덮인 것을보고있는 두 남자.
139,103205630_682ca7285b.jpg,Two people standing outside a blue tent structure on a snowy surface .,두 사람이 눈 덮인 표면에 푸른 텐트 구조 밖에 서 있습니다.
140,1032122270_ea6f0beedb.jpg,A woman crouches near three dogs in a field .,한 여자는 들판에서 개 3 마리 근처에 웅크 리고 있습니다.
141,1032122270_ea6f0beedb.jpg,Three dogs are playing on grassy hill with a blue sky .,3 마리의 개가 푸른 하늘과 함께 잔디 언덕에서 놀고 있습니다.
142,1032122270_ea6f0beedb.jpg,Three dogs are standing in the grass and a person is sitting next to them,세 개의 개가 잔디에 서서 사람이 옆에 앉아 있습니다.
143,1032122270_ea6f0beedb.jpg,Three dogs on a grassy hill,잔디 언덕에 세 마리의 개
144,1032122270_ea6f0beedb.jpg,Three dogs stand in a grassy field while a person kneels nearby .,사람이 근처에 무릎을 꿇고 3 마리의 개가 잔디밭에 서 있습니다.
145,1032460886_4a598ed535.jpg,a man is standing in front of a skyscraper,남자가 마천루 앞에 서 있습니다
146,1032460886_4a598ed535.jpg,A man stands in front of a skyscraper .,남자가 마천루 앞에 서 있습니다.
147,1032460886_4a598ed535.jpg,A man stands in front of a very tall building .,한 남자가 매우 큰 건물 앞에 서 있습니다.
148,1032460886_4a598ed535.jpg,Behind the man in a red shirt stands a large skyscraper .,빨간 셔츠를 입은 남자 뒤에는 큰 마천루가 있습니다.
149,1032460886_4a598ed535.jpg,There is a skyscraper in the distance with a man walking in front of the camera .,카메라 앞에서 걷는 남자와 함께 멀리서 마천루가 있습니다.
150,1034276567_49bb87c51c.jpg,A boy bites hard into a treat while he sits outside .,소년은 밖에 앉아있는 동안 간식에 물린다.
151,1034276567_49bb87c51c.jpg,A child biting into a baked good .,아이가 구운 선으로 물고 있습니다.
152,1034276567_49bb87c51c.jpg,A small boy putting something in his mouth with both hands .,작은 소년이 양손으로 입에 무언가를 넣습니다.
153,1034276567_49bb87c51c.jpg,The boy eats his food outside at the table .,소년은 테이블에서 외부에서 음식을 먹습니다.
154,1034276567_49bb87c51c.jpg,The boy is eating pizza over a tin dish .,소년은 주석 접시 위에 피자를 먹고 있습니다.
155,104136873_5b5d41be75.jpg,People sit on the mountainside and check out the view .,사람들은 산에 앉아서 전망을 확인합니다.
156,104136873_5b5d41be75.jpg,Three people are on a hilltop overlooking a green valley .,세 사람이 그린 밸리가 내려다 보이는 언덕 위에 있습니다.
157,104136873_5b5d41be75.jpg,Three people hang out on top of a big hill .,세 사람이 큰 언덕 위에 어울립니다.
158,104136873_5b5d41be75.jpg,Three people overlook a green valley .,세 사람은 그린 밸리를 내려다보고 있습니다.
159,104136873_5b5d41be75.jpg,Three people rest on a ledge above the moutains .,세 사람은 산 위의 난간에 놓여 있습니다.
160,1042020065_fb3d3ba5ba.jpg,A boy in a green shirt is looking down at many inflatable boats .,녹색 셔츠를 입은 소년은 많은 풍선 보트를 내려다보고 있습니다.
161,1042020065_fb3d3ba5ba.jpg,A boy in a green shirt watches kayakers .,녹색 셔츠를 입은 소년은 카약을보고 있습니다.
162,1042020065_fb3d3ba5ba.jpg,A boy looks over a railing at the many boats and rafts below in the water .,한 소년은 아래의 많은 보트와 뗏목에서 난간을보고 물속에서 뗏목을 봅니다.
163,1042020065_fb3d3ba5ba.jpg,A young boy overlooking a crowd of inflatable boats .,풍선 보트의 군중을 내려다 보는 어린 소년.
164,1042020065_fb3d3ba5ba.jpg,A young boy wearing a jersey looks down over a ledge at many boats in the water .,저지를 입은 어린 소년은 물 속의 많은 배에서 난간을 내려다 본다.
165,1042590306_95dea0916c.jpg,A man and woman pose for the camera while another man looks on .,남자와 여자는 다른 남자가 보는 동안 카메라를 위해 포즈를 취합니다.
166,1042590306_95dea0916c.jpg,A man is holding the hand of a woman up to his mouth in front of some buildings while another man looks on .,한 남자가 다른 남자가 바라 보는 동안 남자의 손을 일부 건물 앞에서 입을 입고 있습니다.
167,1042590306_95dea0916c.jpg,A multiracial couple posing for a picture,사진을 위해 포즈를 취하는 다민족 부부
168,1042590306_95dea0916c.jpg,"Asian man and blond woman holding hands outdoors , man in background watches .",아시아 남자와 금발 여자는 야외에서 손을 잡고 배경 시계에서 남자.
169,1042590306_95dea0916c.jpg,Guy in blue shirt biting hand of girl in black striped jacket while another guy watches,푸른 셔츠의 남자는 검은 줄무늬 재킷에 여자의 손을 물고 다른 사람이 시계를 보는 동안
170,1045521051_108ebc19be.jpg,A person eats takeout while watching a small television .,작은 텔레비전을 보면서 사람이 테이크 아웃을합니다.
171,1045521051_108ebc19be.jpg,A person sits on the floor and eats in front of a television .,사람이 바닥에 앉아 텔레비전 앞에서 먹습니다.
172,1045521051_108ebc19be.jpg,A television with a picture of a girl on it .,여자 사진이있는 텔레비전.
173,1045521051_108ebc19be.jpg,A young man sits on the floor by the television with a fast food meal in front of him .,한 청년은 텔레비전으로 바닥에 앉아 패스트 푸드 식사가 그 앞에 앉아 있습니다.
174,1045521051_108ebc19be.jpg,Someone is laying in front of the TV eating food .,누군가가 TV 앞에 음식을 먹는 음식을 먹고 있습니다.
175,1048710776_bb5b0a5c7c.jpg,a couple of several people sitting on a ledge overlooking the beach,해변이 내려다 보이는 난간에 앉아 몇 명의 사람들이
176,1048710776_bb5b0a5c7c.jpg,A group of people sit on a wall at the beach .,한 무리의 사람들이 해변의 벽에 앉아 있습니다.
177,1048710776_bb5b0a5c7c.jpg,A group of teens sit on a wall by a beach .,십대 그룹이 해변 옆에 벽에 앉아 있습니다.
178,1048710776_bb5b0a5c7c.jpg,Crowd of people at the beach .,해변에서 많은 사람들.
179,1048710776_bb5b0a5c7c.jpg,Several young people sitting on a rail above a crowded beach .,붐비는 해변 위의 레일에 앉아 몇몇 젊은이들.
180,1052358063_eae6744153.jpg,A boy takes a jump on his skateboard while another boy with a skateboard watches .,한 소년은 스케이트 보드에서 뛰어 내리고 스케이트 보드 시계를 가진 다른 소년.
181,1052358063_eae6744153.jpg,A child is performing a skateboard trick while another child with a skateboard leans on a wall .,아이는 스케이트 보드 트릭을 수행하는 반면 스케이트 보드를 가진 다른 아이는 벽에 의지합니다.
182,1052358063_eae6744153.jpg,A little boy skateboarder is doing a trick on his board while another young skateboarder watches .,어린 소년 스케이트 보더가 보드에서 트릭을하고있는 동안 또 다른 젊은 스케이트 보더가 감시하고 있습니다.
183,1052358063_eae6744153.jpg,a young boy skateboarder jumping on a platform on a skateboard .,어린 소년 스케이트 보더가 스케이트 보드의 플랫폼에서 점프합니다.
184,1052358063_eae6744153.jpg,Two skateboarders .,두 스케이트 보더.
185,105342180_4d4a40b47f.jpg,"A girl paddling down a large river , as seen from behind her .",그녀의 뒤에서 볼 수 있듯이 큰 강을 젓는 소녀.
186,105342180_4d4a40b47f.jpg,A woman kayaking down a river .,강을 카약하는 여자.
187,105342180_4d4a40b47f.jpg,A woman paddles a boat down a river .,한 여자는 강 아래로 보트를 젓습니다.
188,105342180_4d4a40b47f.jpg,A woman with a paddle .,패들이있는 여자.
189,105342180_4d4a40b47f.jpg,A woman with a paddle sits in a boat on the water .,패들이있는 여자는 물 위의 보트에 앉아 있습니다.
190,1053804096_ad278b25f1.jpg,A girl in pigtails splashes in the shallow water .,피그 테일의 소녀가 얕은 물에 뿌려집니다.
191,1053804096_ad278b25f1.jpg,A girls plays in the surf .,소녀들이 서핑에서 놀아요.
192,1053804096_ad278b25f1.jpg,a girl with pigtails is playing in the ocean by the beach .,피그 테일을 가진 소녀가 해변 옆에서 바다에서 놀고 있습니다.
193,1053804096_ad278b25f1.jpg,A girl with pigtails plays in the water .,피그 테일을 가진 소녀가 물에서 재생됩니다.
194,1053804096_ad278b25f1.jpg,A young girl in pigtails plays in the water .,피그 테일의 어린 소녀가 물에서 재생됩니다.
195,1055623002_8195a43714.jpg,A group of four children wearing pajamas have a pillow fight .,잠옷을 입은 4 명의 아이들이 베개 싸움을합니다.
196,1055623002_8195a43714.jpg,A group of kids have a pillow-fight .,한 무리의 아이들은 베개 싸움을 가지고 있습니다.
197,1055623002_8195a43714.jpg,A group of young children playing pillow fight on a bed .,침대에서 베개 싸움을하는 어린 아이들 그룹.
198,1055623002_8195a43714.jpg,Children having a pillow fight .,베개 싸움을하는 아이들.
